"id" "switch" "arsenic" "dist" "assoc" "educ"
"1" 1 2.36 16.826000213623 0 0
"2" 1 0.71 47.3219985961914 0 0
"3" 0 2.07 20.9669990539551 0 10
"4" 1 1.15 21.4860000610352 0 12
"5" 1 1.96 32.5820007324219 1 12
"6" 1 1.1 40.8740005493164 1 14
"7" 1 1.41 47.3139991760254 1 0
"8" 1 3.9 69.5179977416992 1 9
"9" 1 2.97 80.7109985351562 1 4
"10" 1 3.24 55.1459999084473 0 10
"11" 1 3.28 52.6469993591309 1 0
"12" 1 2.52 75.0719985961914 1 0
"13" 1 3.13 29.7740001678467 1 5
"14" 1 3.94 30.5960006713867 0 0
"15" 1 3.04 34.5040016174316 0 0
"16" 1 2.91 63.8040008544922 1 0
"17" 1 3.21 73.6039962768555 1 0
"18" 1 1.35 44.6199989318848 1 0
"19" 1 1.7 67.6549987792969 1 0
"20" 1 1.8 80.6600036621094 1 7
"21" 1 1.44 52.181999206543 0 7
"22" 1 1.43 52.181999206543 1 7
"23" 1 2.33 50.5340003967285 1 0
"24" 1 2.83 31.4220008850098 0 10
"25" 1 1.79 33.0089988708496 1 7
"26" 1 2.54 37.8709983825684 0 0
"27" 1 2.25 48.3730010986328 1 5
"28" 1 2.42 47.3089981079102 0 0
"29" 1 2.07 54.0139999389648 0 0
"30" 1 1.62 67.7850036621094 0 8
"31" 1 2.34 81.1380004882812 1 8
"32" 1 3.49 95.4599990844727 0 10
"33" 1 3.08 93.0009994506836 1 3
"34" 1 2.13 114.417999267578 0 16
"35" 1 1.13 131.744995117188 1 10
"36" 1 0.93 157.628997802734 1 10
"37" 1 3.36 151.919998168945 1 10
"38" 1 1.49 107.69100189209 0 10
"39" 1 0.83 105.667999267578 0 10
"40" 1 2.06 98.7789993286133 1 0
"41" 1 1.37 105.625999450684 1 0
"42" 0 2.8 107.69100189209 0 0
"43" 0 0.81 107.69100189209 0 0
"44" 1 1.48 125.317001342773 1 3
"45" 0 1.92 107.69100189209 1 0
"46" 1 2.74 107.69100189209 0 10
"47" 1 2.49 107.69100189209 1 0
"48" 0 3.95 107.69100189209 0 0
"49" 1 2.75 107.69100189209 0 0
"50" 1 2.91 54.5699996948242 0 0
"51" 1 0.83 54.5699996948242 0 0
"52" 1 3.67 54.5699996948242 1 5
"53" 1 2.9 54.5699996948242 0 0
"54" 1 0.78 54.5699996948242 1 10
"55" 1 3.4 54.5699996948242 1 7
"56" 1 2.67 72.5410003662109 1 0
"57" 0 2.52 3.61800003051758 1 5
"58" 1 2.48 58.1669998168945 0 0
"59" 1 4.47 72.3460006713867 0 8
"60" 1 1.52 40.318000793457 0 0
"61" 1 1.8 67.2190017700195 0 0
"62" 0 0.51 99.0130004882812 0 0
"63" 0 0.2 111.63500213623 1 5
"64" 1 0.64 115.91300201416 1 0
"65" 1 0.71 127.098999023438 1 12
"66" 0 0.41 82.5739974975586 0 0
"67" 0 0.05 80.6129989624023 0 0
"68" 0 0.16 174.811996459961 1 0
"69" 0 0.3 139.923004150391 0 5
"70" 0 0.35 101.147003173828 1 9
"71" 0 0.21 98.2630004882812 1 9
"72" 1 0.46 70.2939987182617 1 5
"73" 1 1.01 71.7990036010742 1 5
"74" 0 0.28 128.134994506836 0 10
"75" 1 0.74 141.535995483398 0 8
"76" 1 1.81 84.6460037231445 1 0
"77" 1 2.69 65.931999206543 0 0
"78" 1 4.85 67.9400024414062 1 0
"79" 1 3.18 64.697998046875 0 6
"80" 1 5.06 62.6349983215332 1 10
"81" 1 2.69 47.9090003967285 0 10
"82" 1 0.57 24.0030002593994 0 12
"83" 0 0.33 23.3090000152588 1 6
"84" 0 0.16 10.2340002059937 1 5
